reference,baseline,delta_hv,delta_hv_ci_low,delta_hv_ci_high,delta_igd_plus,delta_igd_ci_low,delta_igd_ci_high,both_win_rate,clusters_both_better,cluster_count
clean_context,original_acgi,4.1764734795995265e-05,-0.0020585737437492564,0.0020043197905869944,0.0025765201023917315,0.00031173964138157026,0.005487928120317903,0.31875,6,20
clean_context,fixed_gat,0.000471024787051018,-0.0024077536917410957,0.0035031983056790137,0.0012495521294991012,-0.0010939275633708738,0.0037029902557358754,0.40625,6,20
clean_context,corrupted_0.25,-0.0009271382118709772,-0.023835883738562942,0.015624736021907046,0.0012439768451040665,-0.0022854049388449887,0.0043757520799911145,0.3421875,6,20
clean_context,corrupted_0.50,0.0012414099609817473,-0.031648224948658536,0.033528639860984116,0.0020837948533325326,-0.0026141081926550017,0.0063111814097073305,0.3484375,5,20
clean_context,corrupted_1.00,-0.007657665945223359,-0.04003125201694921,0.022530181931645927,0.001662637110622161,-0.0031583965294633264,0.0058354530910172155,0.3203125,4,20
clean_context,corrupted_2.00,-0.025894693668103597,-0.06376089321908485,0.009617013291044429,0.00336432642718415,-0.0011074703790266037,0.008371976877868649,0.3203125,6,20
corrupted_0.25,fixed_gat,0.0013981629989219973,-0.016441854954394083,0.02583460357655587,5.575284395034109e-06,-0.003303800676578367,0.003933905540551603,0.4109375,7,20
corrupted_0.50,fixed_gat,-0.0007703851739307238,-0.03308520961437533,0.03271630797343302,-0.0008342427238334317,-0.0052096910227367775,0.004083304002840012,0.440625,8,20
corrupted_1.00,fixed_gat,0.00812869073227438,-0.021947946602058767,0.04080290196381054,-0.00041308498112306005,-0.004104055527744737,0.0042205799235777155,0.4375,9,20
corrupted_2.00,fixed_gat,0.02636571845515461,-0.00969777643396593,0.06426878753503908,-0.002114774297685049,-0.006579899661770007,0.0016729054574063978,0.44375,8,20
